route_color,route_id,route_stop_id,stop_name,vehicle_number,arrival_time,departure_time,actual_dwell_seconds
Red,20,280,COP & North Ave.,2215,2026-09-21T15:54:01-04:00,2026-09-21T15:54:07-04:00,5.7
Gold,29,413,Nanotechnology,2307,2026-09-21T15:54:01-04:00,2026-09-21T15:54:26-04:00,24.4
Clough,28,385,MARTA Midtown Station,2301,2026-09-21T15:54:01-04:00,2026-09-21T15:54:37-04:00,35.9
Blue,21,306,Exhibition Hall,2214,2026-09-21T15:54:01-04:00,2026-09-21T15:55:19-04:00,77.4
Red,20,269,Nanotechnology,2210,2026-09-21T15:54:32-04:00,2026-09-21T15:55:25-04:00,53.0
Gold,29,417,CRC & Stamps Health,2308,2026-09-21T15:54:13-04:00,2026-09-21T15:55:31-04:00,77.6
Gold,29,415,Kendeda Building,2307,2026-09-21T15:54:26-04:00,2026-09-21T15:55:37-04:00,71.0
Gold,29,397,Technology Square WB,2303,2026-09-21T15:54:43-04:00,2026-09-21T15:55:42-04:00,59.2
Red,20,273,West Village,2207,2026-09-21T15:54:01-04:00,2026-09-21T15:55:49-04:00,107.4
Gold,29,396,MARTA Midtown Station,2306,2026-09-21T15:54:01-04:00,2026-09-21T15:56:12-04:00,130.6
Red,20,270,Kendeda Building,2210,2026-09-21T15:55:25-04:00,2026-09-21T15:56:19-04:00,53.7
Gold,29,398,5th Street Bridge WB,2303,2026-09-21T15:55:49-04:00,2026-09-21T15:56:19-04:00,29.7
Northside Dr. - Atlantic Station,26,361,16th & Village St.,2209,2026-09-21T15:56:00-04:00,2026-09-21T15:56:38-04:00,37.2
Blue,21,289,North Avenue Apts - To East Campus,2206,2026-09-21T15:54:01-04:00,2026-09-21T15:56:49-04:00,167.7
Gold,29,416,Couch Park,2307,2026-09-21T15:55:42-04:00,2026-09-21T15:56:56-04:00,73.8
Gold,29,421,Ferst Drive & Student Center,2308,2026-09-21T15:56:12-04:00,2026-09-21T15:56:56-04:00,44.1
Red,20,271,8th St & Hemphill Ave,2207,2026-09-21T15:56:12-04:00,2026-09-21T15:57:03-04:00,50.8
Clough,28,389,Technology Square EB,2309,2026-09-21T15:54:20-04:00,2026-09-21T15:57:03-04:00,163.2
Clough,28,392,Clough Commons,2302,2026-09-21T15:54:20-04:00,2026-09-21T15:57:03-04:00,163.2
Clough,28,393,Publix at the Plaza,2301,2026-09-21T15:54:57-04:00,2026-09-21T15:57:03-04:00,126.2
Blue,21,302,COP & North Ave.,2204,2026-09-21T15:55:49-04:00,2026-09-21T15:57:14-04:00,85.1
Green,17,209,GT Competition Center (575 14th Street),2201,2026-09-21T15:54:01-04:00,2026-09-21T15:57:20-04:00,198.5
Gold,29,411,Russ Chandler Stadium,2303,2026-09-21T15:56:44-04:00,2026-09-21T15:57:32-04:00,48.5
Blue,21,299,Fitten Hall,2214,2026-09-21T15:56:19-04:00,2026-09-21T15:57:39-04:00,80.0
Red,20,274,Center St. Apartments & Hemphill Ave,2210,2026-09-21T15:56:44-04:00,2026-09-21T15:57:50-04:00,66.2
Emory,18,219,HSRB Emory,2304,2026-09-21T15:54:01-04:00,2026-09-21T15:58:20-04:00,258.4
Red,20,275,Ferst Dr & Hemphill Ave,2207,2026-09-21T15:57:14-04:00,2026-09-21T15:58:20-04:00,65.9
Red,20,250,North Avenue Apts - To West Campus,2215,2026-09-21T15:54:13-04:00,2026-09-21T15:58:26-04:00,252.7
Gold,29,412,Klaus Building WB,2303,2026-09-21T15:57:32-04:00,2026-09-21T15:58:26-04:00,53.9
Clough,28,394,Fowler Street NB,2302,2026-09-21T15:57:56-04:00,2026-09-21T15:58:43-04:00,47.3
Green,17,210,14th St & State St,2201,2026-09-21T15:57:56-04:00,2026-09-21T15:58:49-04:00,53.2
Clough,28,390,College of Business,2309,2026-09-21T15:57:14-04:00,2026-09-21T15:58:58-04:00,103.7
Gold,29,417,CRC & Stamps Health,2307,2026-09-21T15:57:26-04:00,2026-09-21T15:58:58-04:00,91.8
Blue,21,303,Ferst Dr & Cherry St,2206,2026-09-21T15:58:13-04:00,2026-09-21T15:59:04-04:00,50.1
Gold,29,404,Publix at the Plaza,2306,2026-09-21T15:57:08-04:00,2026-09-21T15:59:09-04:00,121.0
Clough,28,388,5th Street Bridge EB,2302,2026-09-21T15:58:58-04:00,2026-09-21T15:59:15-04:00,17.3
Clough,28,386,Technology Square WB,2301,2026-09-21T15:58:43-04:00,2026-09-21T15:59:26-04:00,43.4
Northside Dr. - Atlantic Station,26,363,MARTA Stop (17th & State),2209,2026-09-21T15:58:32-04:00,2026-09-21T15:59:32-04:00,60.5
Clough,28,391,Academy of Medicine,2309,2026-09-21T15:59:04-04:00,2026-09-21T15:59:38-04:00,34.0
Green,17,211,GTRI Conference Center,2201,2026-09-21T15:58:49-04:00,2026-09-21T15:59:44-04:00,55.4
Red,20,276,Cherry Emerson,2207,2026-09-21T15:58:49-04:00,2026-09-21T16:00:15-04:00,86.5
Clough,28,387,5th Street Bridge WB,2301,2026-09-21T15:59:38-04:00,2026-09-21T16:00:15-04:00,37.8
Gold,29,413,Nanotechnology,2303,2026-09-21T15:58:43-04:00,2026-09-21T16:00:15-04:00,92.4
Red,20,264,Brown Residence Hall,2215,2026-09-21T15:59:44-04:00,2026-09-21T16:00:34-04:00,49.5
Gold,29,421,Ferst Drive & Student Center,2307,2026-09-21T15:59:38-04:00,2026-09-21T16:00:34-04:00,56.2
Blue,21,282,West Village,2214,2026-09-21T15:59:32-04:00,2026-09-21T16:00:43-04:00,70.9
Gold,29,415,Kendeda Building,2303,2026-09-21T16:00:15-04:00,2026-09-21T16:01:08-04:00,52.4
Red,20,272,Paper Tricentennial,2210,2026-09-21T15:57:56-04:00,2026-09-21T16:01:13-04:00,197.7
Blue,21,289,North Avenue Apts - To East Campus,2204,2026-09-21T15:57:32-04:00,2026-09-21T16:01:13-04:00,221.3
Red,20,277,Klaus Building EB,2207,2026-09-21T16:00:21-04:00,2026-09-21T16:01:19-04:00,58.0
Blue,21,463,Ferst Dr. and Weber Building,2206,2026-09-21T15:58:58-04:00,2026-09-21T16:01:19-04:00,141.8
Northside Dr. - Atlantic Station,26,364,MARTA Stop (17th & Village),2209,2026-09-21T15:59:44-04:00,2026-09-21T16:01:19-04:00,95.0
Clough,28,389,Technology Square EB,2302,2026-09-21T15:59:50-04:00,2026-09-21T16:01:19-04:00,88.9
Clough,28,395,Fowler Street SB,2301,2026-09-21T16:00:27-04:00,2026-09-21T16:01:26-04:00,59.3
Emory,18,220,Woodruff Circle Transit Hub,2304,2026-09-21T15:59:21-04:00,2026-09-21T16:01:45-04:00,143.8
Gold,29,397,Technology Square WB,2306,2026-09-21T16:00:55-04:00,2026-09-21T16:01:50-04:00,54.8
Red,20,265,Techwood Dr & Field Residence Hall,2215,2026-09-21T16:00:49-04:00,2026-09-21T16:02:03-04:00,73.9
Blue,21,283,8th St & Hemphill Ave,2214,2026-09-21T16:00:55-04:00,2026-09-21T16:02:21-04:00,85.3
Northside Dr. - Atlantic Station,26,365,MARTA Stop (17th & Bishop),2209,2026-09-21T16:01:19-04:00,2026-09-21T16:02:27-04:00,67.5
Blue,21,305,Student Center,2206,2026-09-21T16:01:26-04:00,2026-09-21T16:02:33-04:00,66.6
Gold,29,416,Couch Park,2303,2026-09-21T16:01:13-04:00,2026-09-21T16:02:33-04:00,79.4
Green,17,212,McCamish & 10th St.,2201,2026-09-21T16:02:03-04:00,2026-09-21T16:03:09-04:00,65.6
Red,20,278,Techwood Dr & 5th St - South,2207,2026-09-21T16:02:03-04:00,2026-09-21T16:03:09-04:00,65.6
Gold,29,398,5th Street Bridge WB,2306,2026-09-21T16:02:03-04:00,2026-09-21T16:03:14-04:00,71.2
Blue,21,284,Couch Park,2214,2026-09-21T16:02:27-04:00,2026-09-21T16:03:37-04:00,70.6
Gold,29,411,Russ Chandler Stadium,2306,2026-09-21T16:03:20-04:00,2026-09-21T16:03:55-04:00,35.0
Red,20,266,Techwood & 5th  - North,2215,2026-09-21T16:02:51-04:00,2026-09-21T16:04:01-04:00,70.5
Blue,21,306,Exhibition Hall,2206,2026-09-21T16:03:03-04:00,2026-09-21T16:04:07-04:00,63.9
Red,20,279,Techwood Dr & Bobby Dodd Way,2207,2026-09-21T16:03:20-04:00,2026-09-21T16:04:19-04:00,58.4
Gold,29,412,Klaus Building WB,2306,2026-09-21T16:03:55-04:00,2026-09-21T16:04:43-04:00,48.0
Clough,28,385,MARTA Midtown Station,2309,2026-09-21T16:01:45-04:00,2026-09-21T16:04:49-04:00,184.2
Clough,28,390,College of Business,2302,2026-09-21T16:03:14-04:00,2026-09-21T16:04:56-04:00,101.2
Green,17,213,Graduate Living Center,2201,2026-09-21T16:04:13-04:00,2026-09-21T16:05:01-04:00,48.2
